DATE,DailyAverageDryBulbTemperature,DailyMaximumDryBulbTemperature,DailyMinimumDryBulbTemperature
2016-05-29T23:59:00,63,66,59
2016-05-30T23:59:00,64,67,61
2016-05-31T23:59:00,62,64,60
2016-06-01T23:59:00,63,65,60
2016-06-02T23:59:00,65,70,59
2016-06-04T23:59:00,65,70,59
2016-06-05T23:59:00,64,68,60
2016-06-08T23:59:00,66,69,62
2016-06-09T23:59:00,65,69,61
2016-06-10T23:59:00,65,69,61
2016-06-11T23:59:00,64,66,62
2016-06-12T23:59:00,64,68,60
2016-06-13T23:59:00,65,69,61
2016-06-14T23:59:00,65,68,61
2016-06-15T23:59:00,64,68,60
2016-06-16T23:59:00,64,70,58
2016-06-17T23:59:00,68,76,60
2016-06-18T23:59:00,69,78,60
2016-06-19T23:59:00,74,83,64
2016-06-20T23:59:00,77,85,69
2016-06-21T23:59:00,71,74,67
2016-06-22T23:59:00,70,74,65
2016-06-23T23:59:00,68,72,64
2016-06-24T23:59:00,67,71,63
2016-06-25T23:59:00,67,71,62
2016-06-26T23:59:00,68,73,63
2016-06-27T23:59:00,73,78,67
2016-06-28T23:59:00,70,74,66
2016-06-29T23:59:00,71,75,66
2016-06-30T23:59:00,70,74,66
2016-07-01T23:59:00,67,70,64
2016-07-02T23:59:00,67,71,63
2016-07-03T23:59:00,67,70,63
2016-07-04T23:59:00,69,72,65
2016-07-05T23:59:00,69,73,65
2016-07-06T23:59:00,67,70,64
2016-07-07T23:59:00,68,72,63
2016-07-08T23:59:00,68,72,63
2016-07-09T23:59:00,69,75,62
2016-07-10T23:59:00,70,75,65
2016-07-11T23:59:00,68,72,64
2016-07-12T23:59:00,68,71,64
2016-07-13T23:59:00,70,74,65
2016-07-14T23:59:00,70,75,65
2016-07-15T23:59:00,70,74,66
2016-07-16T23:59:00,70,73,66
2016-07-17T23:59:00,71,75,66
2016-07-18T23:59:00,71,74,67
2016-07-19T23:59:00,71,77,65
2016-07-20T23:59:00,74,81,67
2016-07-21T23:59:00,75,83,67
2016-07-22T23:59:00,76,84,67
2016-07-23T23:59:00,76,85,67
2016-07-24T23:59:00,74,80,68
2016-07-25T23:59:00,73,76,70
2016-07-26T23:59:00,74,79,68
2016-07-27T23:59:00,75,79,70
2016-07-28T23:59:00,75,80,69
2016-07-29T23:59:00,74,77,70
2016-07-30T23:59:00,74,78,69
2016-07-31T23:59:00,74,78,69
2016-08-01T23:59:00,73,77,68
2016-08-02T23:59:00,73,77,69
2016-08-03T23:59:00,73,76,69
2016-08-04T23:59:00,73,76,69
2016-08-05T23:59:00,72,74,69
2016-08-06T23:59:00,70,73,67
2016-08-07T23:59:00,71,75,67
2016-08-08T23:59:00,70,73,66
2016-08-09T23:59:00,69,72,65
2016-08-10T23:59:00,70,75,64
2016-08-11T23:59:00,71,74,68
2016-08-12T23:59:00,72,76,68
2016-08-13T23:59:00,73,77,68
2016-08-14T23:59:00,74,79,68
2016-08-15T23:59:00,75,81,69
2016-08-16T23:59:00,72,78,65
2016-08-17T23:59:00,72,78,65
2016-08-18T23:59:00,71,76,66
2016-08-19T23:59:00,70,74,66
2016-08-20T23:59:00,69,73,65
2016-08-21T23:59:00,70,75,65
2016-08-22T23:59:00,71,75,66
2016-08-23T23:59:00,69,74,63
2016-08-24T23:59:00,71,75,66
2016-08-25T23:59:00,68,71,64
2016-08-26T23:59:00,68,71,64
2016-08-27T23:59:00,69,72,65
2016-08-28T23:59:00,70,73,66
2016-08-29T23:59:00,71,75,66
2016-08-30T23:59:00,71,76,66
2016-08-31T23:59:00,71,76,66
2016-09-01T23:59:00,70,73,66
2016-09-02T23:59:00,68,72,64
2016-09-03T23:59:00,68,71,64
2016-09-04T23:59:00,68,71,64
2016-09-05T23:59:00,67,71,63
2016-09-06T23:59:00,67,73,61
2016-09-07T23:59:00,69,73,65
2016-09-08T23:59:00,70,73,67
2016-09-09T23:59:00,69,73,65
2016-09-10T23:59:00,69,73,64
2016-09-11T23:59:00,68,72,64
2016-09-12T23:59:00,67,70,64
2016-09-13T23:59:00,66,70,61
2016-09-14T23:59:00,64,70,58
2016-09-15T23:59:00,65,72,57
2016-09-16T23:59:00,64,71,56
2016-09-17T23:59:00,66,73,58
2016-09-18T23:59:00,65,71,59
2016-09-19T23:59:00,71,80,61
2016-09-20T23:59:00,76,82,69
2016-09-21T23:59:00,72,77,67
2016-09-22T23:59:00,68,73,62
2016-09-23T23:59:00,65,72,58
2016-09-24T23:59:00,71,81,60
2016-09-25T23:59:00,74,86,61
2016-09-26T23:59:00,86,103,69
2016-09-27T23:59:00,82,94,70
2016-09-28T23:59:00,77,85,69
2016-09-29T23:59:00,74,81,67
2016-09-30T23:59:00,73,79,66
2016-10-01T23:59:00,71,78,64
2016-10-02T23:59:00,68,72,63
2016-10-03T23:59:00,65,70,59
2016-10-04T23:59:00,65,72,58
2016-10-05T23:59:00,65,70,60
2016-10-06T23:59:00,65,72,57
2016-10-07T23:59:00,70,82,57
2016-10-08T23:59:00,71,83,59
2016-10-09T23:59:00,73,86,60
2016-10-10T23:59:00,68,76,60
2016-10-11T23:59:00,65,68,62
2016-10-12T23:59:00,65,70,59
2016-10-13T23:59:00,64,69,58
2016-10-14T23:59:00,66,69,62
2016-10-15T23:59:00,66,69,62
2016-10-16T23:59:00,67,71,63
2016-10-17T23:59:00,65,69,60
2016-10-18T23:59:00,65,71,58
2016-10-19T23:59:00,67,76,57
2016-10-20T23:59:00,75,89,61
2016-10-21T23:59:00,75,86,63
2016-10-22T23:59:00,71,80,61
2016-10-23T23:59:00,70,79,61
2016-10-24T23:59:00,67,72,61
2016-10-25T23:59:00,64,69,58
2016-10-26T23:59:00,65,72,58
2016-10-27T23:59:00,68,76,59
2016-10-28T23:59:00,69,76,62
2016-10-29T23:59:00,68,75,60
2016-10-30T23:59:00,65,69,61
2016-10-31T23:59:00,63,68,57
2016-11-01T23:59:00,61,67,54
2016-11-02T23:59:00,63,73,53
2016-11-03T23:59:00,67,77,57
2016-11-04T23:59:00,68,78,57
2016-11-05T23:59:00,65,74,55
2016-11-06T23:59:00,63,73,53
2016-11-07T23:59:00,62,71,52
2016-11-08T23:59:00,68,79,56
2016-11-09T23:59:00,79,94,63
2016-11-10T23:59:00,78,91,64
2016-11-11T23:59:00,71,83,58
2016-11-12T23:59:00,70,80,60
2016-11-13T23:59:00,72,83,60
2016-11-14T23:59:00,71,81,60
2016-11-15T23:59:00,65,75,55
2016-11-16T23:59:00,64,68,60
2016-11-17T23:59:00,61,68,54
2016-11-18T23:59:00,62,73,51
2016-11-19T23:59:00,60,70,49
2016-11-20T23:59:00,62,67,57
2016-11-21T23:59:00,60,64,56
2016-11-22T23:59:00,60,67,52
2016-11-23T23:59:00,58,66,50
2016-11-24T23:59:00,65,80,50
2016-11-25T23:59:00,60,72,47
2016-11-26T23:59:00,54,62,46
2016-11-27T23:59:00,56,62,50
2016-11-28T23:59:00,56,61,50
2016-11-29T23:59:00,59,70,47
2016-11-30T23:59:00,56,66,45
2016-12-01T23:59:00,56,62,49
2016-12-02T23:59:00,59,68,49
2016-12-03T23:59:00,59,69,48
2016-12-04T23:59:00,59,72,45
2016-12-05T23:59:00,54,62,46
2016-12-06T23:59:00,58,62,54
2016-12-07T23:59:00,56,61,51
2016-12-08T23:59:00,55,63,47
2016-12-09T23:59:00,56,62,50
2016-12-10T23:59:00,59,63,55
2016-12-11T23:59:00,61,65,57
2016-12-12T23:59:00,61,64,58
2016-12-13T23:59:00,59,64,53
2016-12-14T23:59:00,59,67,50
2016-12-15T23:59:00,59,68,50
